DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-09-23 23:00:01.447959,7,1598,2540,1762,1149,1219,308,798
2018-09-23 23:15:00.966596,7,1609,2565,1783,1188,1247,309,803
2018-09-23 23:30:01.313360,7,1625,2581,1804,1205,1265,312,800
2018-09-23 23:45:00.785151,7,1629,2594,1810,1218,1272,314,813
2018-09-24 00:00:01.397512,1,1651,2601,1829,1256,1309,314,816
2018-09-24 00:15:08.681549,1,1657,2610,1841,1262,1313,315,816
2018-09-24 00:30:08.856435,1,1689,2618,1849,1321,1362,316,819
2018-09-24 00:45:07.343885,1,739,2625,856,1371,1402,317,819
2018-09-24 01:00:01.409585,1,745,2628,858,1385,1416,316,823
2018-09-24 01:15:00.850096,1,749,2629,859,1397,1421,317,815
2018-09-24 01:30:01.431236,1,751,2631,862,1404,1427,317,825
2018-09-24 01:45:00.793652,1,754,2631,863,1412,1436,317,824
2018-09-24 02:00:01.437259,1,761,2630,864,1423,1448,317,824
2018-09-24 02:15:00.909051,1,765,2631,867,1449,1471,317,824
2018-09-24 02:30:00.958937,1,770,2634,871,1463,1481,317,824
2018-09-24 02:45:01.008825,1,786,2634,879,1484,1500,317,824
2018-09-24 03:00:01.668054,1,786,2633,881,1490,1506,317,828
2018-09-24 03:15:01.280472,1,786,2635,881,1493,1507,316,828
2018-09-24 03:30:01.408459,1,788,2636,881,1494,1508,317,827
2018-09-24 03:45:00.786486,1,788,2634,882,1493,1509,316,828
2018-09-24 04:00:01.369682,1,788,2633,881,1493,1506,317,828
